episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-18.641391,0.010626,0.380540,0.782123,144,0.003333,10,1.000000,1152,1396,-0.037513,0.855522,1.021961,0.074219,-302.757141,56.420258,0.000300
2,-17.729914,0.011172,0.257161,0.887873,168,0.000757,10,1.000000,1308,1223,-0.029082,10.677196,3.758344,0.910156,-507.731750,91.495514,0.000300
3,-17.974993,0.013952,0.255594,0.855061,152,0.003576,10,1.000000,1354,1194,-0.029476,6.874333,2.781498,0.855469,-539.184021,98.510117,0.000300
4,-18.076379,0.013387,0.260081,0.917025,189,0.006553,10,1.000000,1313,1239,-0.026866,5.425588,2.428636,0.828125,-614.373047,111.135063,0.000300
5,-17.918517,0.011079,0.229626,0.926321,156,0.001460,10,1.000000,1359,1190,-0.025297,4.488977,2.214945,0.703125,-681.835754,122.580292,0.000300
6,-17.185228,0.016765,0.149386,0.983305,293,0.000902,10,1.000000,1579,964,-0.018778,3.687050,2.022000,0.347656,-725.324524,130.741089,0.000300
7,-8.344459,0.111438,0.056016,0.985678,618,0.009061,10,1.000000,1800,750,-0.028444,1.399851,1.393887,0.085938,-617.236084,126.253471,0.000300
8,-6.886071,0.146487,0.048297,0.988813,905,0.001541,10,1.000000,1892,662,-0.007036,0.983782,1.101945,0.050781,-591.598328,103.217514,0.000300
9,-10.428864,0.091562,0.032148,0.988713,1169,0.010485,10,1.000000,2012,545,-0.009624,1.062021,1.155686,0.066406,-588.374756,120.341461,0.000300
10,-7.616458,0.130742,0.024519,0.985070,1255,0.012273,10,1.000000,1962,597,-0.000709,0.847280,1.050569,0.062500,-589.716553,108.960144,0.000300
11,-9.356329,0.115768,0.015571,0.978318,1429,0.013562,10,1.000000,1877,681,0.009437,0.843567,1.025157,0.046875,-603.246582,108.251503,0.000300
12,-9.010773,0.121303,0.017375,0.980328,1415,0.012283,10,1.000000,1866,693,0.014354,0.923564,1.124858,0.066406,-621.416870,108.349411,0.000300
13,-9.564203,0.110694,0.016464,0.981747,1535,0.013822,10,1.000000,1825,734,0.012509,1.128109,1.244124,0.070312,-662.112610,123.010132,0.000300
14,-8.982933,0.120179,0.015191,0.980928,1592,0.013605,10,1.000000,1826,733,0.028409,0.822943,1.073078,0.050781,-670.263611,108.020210,0.000300
15,-10.930785,0.099237,0.014796,0.980219,1629,0.016897,10,1.000000,1796,764,0.019490,1.428405,1.316863,0.074219,-691.349243,129.563217,0.000300
16,-9.126766,0.125668,0.015787,0.989839,1735,0.017389,10,1.000000,1813,747,0.032751,0.871227,1.090636,0.058594,-660.322754,116.701462,0.000300
17,-9.506096,0.112106,0.014137,0.987714,1684,0.016818,10,1.000000,1783,777,0.029603,0.839715,1.058758,0.058594,-661.639771,114.729301,0.000300
18,-8.882976,0.136274,0.013208,0.986782,1670,0.014715,10,1.000000,1733,827,0.035920,0.748479,0.937398,0.042969,-679.052185,114.952805,0.000300
19,-8.841887,0.134138,0.013165,0.981580,1687,0.015898,10,1.000000,1707,853,0.033513,0.492626,0.742606,0.035156,-632.825562,126.057220,0.000300
20,-9.181134,0.114579,0.015813,0.990374,1775,0.018208,10,1.000000,1791,769,0.035830,0.365996,0.609921,0.011719,-636.565063,134.393982,0.000300
21,-9.873654,0.103401,0.012426,0.989730,1683,0.016106,10,1.000000,1697,863,0.039553,0.424088,0.661112,0.015625,-667.361694,131.110229,0.000300
22,-9.781878,0.105933,0.011345,0.986887,1677,0.012718,10,1.000000,1713,847,0.032878,0.433933,0.658838,0.007812,-644.499023,162.241867,0.000300
23,-10.950663,0.098413,0.014710,0.989641,1763,0.015104,10,1.000000,1776,784,0.005907,0.570326,0.755203,0.003906,-635.815002,185.716324,0.000300
24,-10.173078,0.107354,0.017528,0.996241,1668,0.015010,10,1.000000,1726,834,0.016992,0.290533,0.539011,0.000000,-641.722595,165.002899,0.000300
25,-8.787560,0.130246,0.014058,0.985931,1824,0.019310,10,1.000000,1792,768,0.000964,0.332057,0.576278,0.003906,-558.973389,190.777695,0.000300
26,-8.772198,0.142802,0.010971,0.990201,1811,0.015110,10,1.000000,1777,783,0.000486,0.196465,0.443244,0.000000,-565.875183,190.607864,0.000300
27,-8.478909,0.132469,0.016998,0.992354,1629,0.015349,10,1.000000,1613,947,0.030908,0.262656,0.515475,0.011719,-605.778809,158.931427,0.000300
28,-8.546919,0.129252,0.011150,0.992416,1636,0.005071,10,1.000000,1678,882,0.025835,0.384206,0.621545,0.015625,-590.004333,159.793640,0.000300
29,-8.435607,0.119527,0.009193,0.987247,1684,0.014226,10,1.000000,1666,894,0.014928,0.182943,0.427719,0.000000,-580.447449,177.891327,0.000300
30,-10.105296,0.101943,0.016705,0.988779,1717,0.014117,10,1.000000,1707,853,0.001126,0.884418,0.951497,0.027344,-583.182007,184.207626,0.000300
31,-9.108349,0.123114,0.013434,0.987262,1682,0.011011,10,1.000000,1679,881,0.032275,0.219706,0.469598,0.011719,-632.601685,147.459045,0.000300
32,-9.636950,0.105239,0.008230,0.987263,1658,0.009578,10,1.000000,1664,896,0.035273,0.379895,0.624792,0.027344,-680.809875,146.386490,0.000300
33,-8.774302,0.133702,0.011046,0.989465,1765,0.008134,10,1.000000,1750,810,0.006307,0.200082,0.447306,0.000000,-609.610962,191.976944,0.000300
34,-8.987078,0.124755,0.013063,0.985747,1689,0.008094,10,1.000000,1703,857,0.023444,0.210918,0.459258,0.000000,-660.879761,149.642715,0.000300
35,-8.938017,0.135450,0.013310,0.980578,1805,0.009566,10,1.000000,1783,777,0.020277,0.201451,0.448881,0.003906,-640.274597,153.155914,0.000300
36,-8.759006,0.119317,0.009016,0.991608,1763,0.013510,10,1.000000,1734,826,0.003961,0.325590,0.572067,0.011719,-618.674988,191.613907,0.000300
37,-9.351696,0.129910,0.017485,0.987795,1744,0.012099,10,1.000000,1714,846,0.001825,0.233665,0.483792,0.007812,-614.800598,189.941544,0.000300
38,-9.662219,0.126500,0.016116,0.993040,1815,0.008325,10,1.000000,1765,795,0.003336,0.160614,0.401123,0.007812,-577.112183,179.847198,0.000300
39,-8.948379,0.125048,0.011374,0.992000,1671,0.011301,10,1.000000,1708,852,0.019826,0.448515,0.678732,0.019531,-610.838257,165.903748,0.000300
40,-9.827295,0.111198,0.013016,0.989573,1660,0.010320,10,1.000000,1657,888,0.011730,0.475561,0.695952,0.023576,-614.589783,178.957489,0.000300
