episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-0.296106,0.045569,0.279886,0.877033,156,0.004729,10,1.000000,1151,1396,-0.035482,0.147213,0.383683,0.000000,-4.110714,2.730175,0.000300
2,-0.248070,0.080286,0.213861,0.985565,185,0.003283,10,1.000000,1158,1372,-0.058526,0.314490,0.566170,0.031250,-8.157626,4.428054,0.000300
3,-0.152248,0.061029,0.296175,0.901591,154,0.005106,10,1.000000,1038,1497,0.041447,0.214065,0.466439,0.015625,-12.001780,8.107185,0.000300
4,-0.183342,0.091102,0.235174,0.975864,182,0.052274,10,1.000000,824,1661,-0.022727,0.706640,0.850548,0.031250,-15.044220,8.581664,0.000270
5,-0.148485,0.148001,0.179730,0.987182,250,0.073661,10,1.000000,803,1663,0.096364,0.702688,0.869252,0.031250,-13.131889,7.572090,0.000243
6,-0.176968,0.089856,0.207683,0.981489,219,0.055675,10,1.000000,826,1650,-0.008484,0.729800,0.881949,0.062500,-15.937704,8.307613,0.000219
7,-0.192920,0.107611,0.211652,0.984642,209,0.071984,10,1.000000,798,1695,-0.014192,0.617772,0.793086,0.039062,-15.970764,7.460026,0.000197
8,-0.182103,0.106214,0.212566,0.980709,230,0.071328,10,1.000000,738,1740,0.119355,0.369718,0.615192,0.023438,-16.252594,7.715142,0.000177
9,-0.021471,0.147950,0.186888,0.978608,225,0.095131,10,1.000000,747,1719,0.058109,0.666151,0.866056,0.046875,-14.587179,12.101726,0.000159
10,-0.201210,0.064586,0.236352,0.985189,232,0.080701,10,1.000000,677,1787,0.071014,0.424770,0.653830,0.023438,-17.507368,8.556270,0.000143
11,-0.290772,0.122775,0.187360,0.974345,291,0.095894,10,1.000000,669,1763,0.068693,1.377655,1.336640,0.085938,-16.130848,5.437730,0.000129
12,-0.048351,0.152350,0.188033,0.969230,300,0.101620,10,1.000000,615,1821,0.108912,0.409883,0.656424,0.031250,-15.294284,11.482729,0.000116
13,-0.170693,0.078510,0.238344,0.978445,280,0.106752,10,1.000000,574,1859,-0.107513,0.494454,0.710579,0.039062,-18.127934,9.762362,0.000105
14,-0.158004,0.144381,0.182939,0.979693,295,0.105549,10,1.000000,518,1928,0.049889,0.199377,0.446517,0.000000,-16.979403,8.418105,0.000100
15,-0.209423,0.088308,0.208155,0.986874,288,0.114261,10,1.000000,474,1940,0.045012,0.346154,0.588472,0.007812,-17.633686,8.008354,0.000100
16,-0.130863,0.101756,0.196165,0.983514,294,0.158803,10,1.000000,489,1897,0.067634,0.401447,0.636595,0.023438,-17.022390,9.969744,0.000100
17,-0.272367,0.084525,0.204962,0.990021,289,0.096549,10,1.000000,420,2005,0.124391,0.374266,0.612905,0.023438,-18.751293,5.837303,0.000100
18,-0.277085,0.073652,0.209740,0.995332,293,0.100677,10,1.000000,373,2050,0.041439,0.335379,0.582419,0.023438,-19.105846,6.308381,0.000100
19,-0.183358,0.069556,0.242341,0.973992,293,0.119041,10,1.000000,360,2052,0.004981,0.515087,0.723905,0.031250,-18.671589,10.917429,0.000100
20,-0.335618,0.047796,0.234247,0.986790,290,0.079868,10,1.000000,352,2068,0.029736,0.811826,1.023855,0.054688,-20.183401,5.562977,0.000100
21,-0.154132,0.098500,0.213693,0.981643,297,0.156706,10,1.000000,384,2018,0.034622,0.413174,0.648460,0.023438,-18.852505,10.249856,0.000100
22,-0.151071,0.109869,0.226618,0.987026,290,0.109291,10,1.000000,337,2052,0.097706,0.366397,0.608178,0.023438,-19.191954,9.449703,0.000100
23,-0.229496,0.120383,0.218005,0.993339,299,0.101898,10,1.000000,320,2089,0.039682,0.543882,0.749479,0.046875,-19.928427,5.714609,0.000100
24,-0.357223,0.057693,0.246844,0.985271,292,0.125196,10,1.000000,320,2080,-0.012751,0.659185,0.836857,0.070312,-21.390785,6.021766,0.000100
25,-0.126276,0.099702,0.220363,0.983131,297,0.115584,10,1.000000,281,2096,0.072812,0.723959,0.879694,0.078125,-20.000322,10.243943,0.000100
26,-0.270840,0.064729,0.239422,0.988542,293,0.110928,10,1.000000,284,2067,-0.049589,0.498449,0.716318,0.039062,-21.829807,6.875193,0.000100
27,-0.253471,0.055279,0.270803,0.983356,298,0.116443,10,1.000000,198,2216,0.085236,0.355046,0.603249,0.015625,-22.194962,7.662133,0.000100
28,-0.342024,0.045155,0.283671,0.988545,296,0.188148,10,1.000000,264,2138,0.175723,0.515242,0.747693,0.039062,-23.189760,5.769040,0.000100
29,-0.287012,0.056761,0.240844,0.981012,292,0.112461,10,1.000000,249,2186,0.216180,0.350344,0.591967,0.015625,-22.824757,6.890563,0.000100
30,-0.373038,0.065494,0.223437,0.994353,292,0.170125,10,1.000000,263,2166,-0.049208,0.533914,0.750000,0.046875,-23.424477,4.845677,0.000100
31,-0.157549,0.087821,0.236947,0.976648,292,0.200776,10,1.000000,276,2127,0.050034,0.697938,0.867408,0.062500,-22.350361,10.619225,0.000100
32,-0.235994,0.080250,0.244919,0.986862,295,0.209698,10,1.000000,268,2149,0.041269,0.733260,0.880881,0.078125,-23.346455,7.535212,0.000100
33,-0.197503,0.064757,0.275202,0.982927,299,0.132255,10,1.000000,276,2135,0.059991,0.607061,0.789885,0.062500,-23.377184,9.706628,0.000100
34,-0.190017,0.081845,0.237068,0.988111,297,0.175130,10,1.000000,271,2135,0.022178,0.535424,0.764486,0.039062,-23.508274,8.818454,0.000100
35,-0.317878,0.070730,0.256001,0.992874,299,0.109068,10,1.000000,273,2136,-0.042971,0.581691,0.786331,0.039062,-24.621977,6.175840,0.000100
36,-0.354259,0.042773,0.267504,0.986637,290,0.177396,10,1.000000,254,2179,-0.029928,0.635258,0.832072,0.062500,-24.958063,5.926064,0.000100
