episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-5.455387,0.039848,0.631256,0.846169,141,0.003677,10,1.000000,1188,1358,-0.066272,1.066869,1.055168,0.089844,-82.815468,23.318499,0.000300
2,-6.822526,0.024903,0.520176,0.840884,141,0.001254,10,1.000000,1258,1287,-0.063608,3.735343,2.077321,0.371094,-176.620514,49.448555,0.000300
3,-6.801020,0.025209,0.504970,0.836004,154,0.000318,10,1.000000,1236,1310,-0.058755,3.389706,2.075663,0.250000,-228.157135,55.851543,0.000300
4,-5.912772,0.030983,0.572561,0.742708,136,0.000615,10,1.000000,1270,1269,-0.046973,2.905432,1.816792,0.262231,-248.831161,55.862839,0.000300
5,-6.060167,0.037075,0.599165,0.764155,128,0.001161,10,1.000000,1252,1282,-0.054010,2.838496,1.837071,0.222656,-264.882111,64.514633,0.000300
6,-5.591456,0.044721,0.637820,0.698718,145,0.001223,10,1.000000,1160,1373,-0.047731,1.955372,1.529005,0.148438,-264.363708,60.204350,0.000300
7,-5.894280,0.047641,0.618666,0.680335,123,0.005017,10,1.000000,1190,1349,-0.054445,2.408338,1.682472,0.253906,-276.034973,72.973160,0.000300
8,-4.677918,0.063855,0.739659,0.628267,125,0.007487,10,1.000000,1106,1430,-0.035501,1.301643,1.245324,0.093823,-263.751312,58.480087,0.000300
9,-4.150608,0.094371,0.914547,0.582395,110,0.046030,10,1.000000,948,1595,-0.000266,1.187565,1.186800,0.117188,-264.572357,57.002712,0.000270
10,-4.165152,0.112219,0.928716,0.570132,107,0.058388,10,1.000000,851,1688,-0.001541,1.171806,1.191693,0.101562,-261.804443,58.605682,0.000243
11,-4.385046,0.094161,0.926458,0.549031,114,0.052103,10,1.000000,852,1689,0.001764,1.282342,1.236055,0.101562,-266.782166,60.965130,0.000219
12,-4.130844,0.113571,0.891031,0.607996,108,0.048356,10,1.000000,841,1693,0.004883,1.199599,1.194072,0.093750,-263.900879,58.763699,0.000197
13,-4.004177,0.123267,0.928612,0.596869,107,0.073692,10,1.000000,742,1796,0.003302,1.154764,1.176577,0.089844,-262.510834,57.902264,0.000177
14,-4.058212,0.105355,0.959886,0.638008,106,0.068384,10,1.000000,698,1847,0.013098,1.093246,1.137684,0.078156,-266.854187,56.143585,0.000159
15,-3.496756,0.128895,0.957813,0.584019,108,0.066486,10,1.000000,747,1793,0.032606,0.935473,1.070143,0.066406,-258.070862,52.027470,0.000143
16,-3.801291,0.120987,0.926263,0.587730,104,0.077204,10,1.000000,702,1839,0.023245,1.163018,1.178326,0.097656,-261.119843,58.122665,0.000129
17,-3.682343,0.138474,0.960754,0.574764,107,0.073099,10,1.000000,708,1827,0.010301,1.070098,1.132625,0.093750,-256.561340,55.310345,0.000116
18,-3.585090,0.124954,0.923424,0.569893,107,0.074502,10,1.000000,700,1835,0.029977,0.994205,1.096496,0.070312,-256.716736,53.758022,0.000105
19,-3.490529,0.136947,0.953566,0.583313,113,0.083839,10,1.000000,645,1896,0.034742,0.868894,1.030450,0.058594,-253.705536,50.278351,0.000100
20,-3.761002,0.136983,0.929275,0.611971,104,0.081412,10,1.000000,659,1876,0.010631,1.104434,1.134683,0.078125,-255.035400,56.312168,0.000100
21,-3.665253,0.133800,0.958108,0.631893,111,0.076377,10,1.000000,598,1937,0.029306,0.870889,1.020945,0.058594,-252.956757,50.489689,0.000100
22,-3.701825,0.130970,0.953872,0.533784,103,0.077035,10,1.000000,631,1906,0.029012,1.025079,1.101776,0.085938,-247.322906,54.568752,0.000100
23,-3.486009,0.137739,0.959649,0.588546,105,0.075985,10,1.000000,588,1960,0.043204,0.822144,0.988409,0.058594,-244.962036,48.535568,0.000100
24,-3.602224,0.143897,0.953258,0.606151,102,0.081811,10,1.000000,586,1956,0.033566,0.941160,1.041668,0.093750,-243.049835,51.863018,0.000100
25,-3.783089,0.147600,0.948655,0.595244,105,0.081663,10,1.000000,581,1956,0.021755,1.039678,1.099022,0.101562,-239.036057,54.599560,0.000100
26,-3.915871,0.135405,0.953501,0.652800,106,0.072479,10,1.000000,518,2019,0.026625,0.952128,1.041943,0.074219,-240.292999,51.902489,0.000100
27,-3.462971,0.165890,0.954553,0.635643,101,0.095088,10,1.000000,486,2055,0.024790,0.830197,0.981515,0.070312,-230.702484,48.676399,0.000100
28,-3.467927,0.158385,0.955241,0.663663,103,0.075736,10,1.000000,493,2037,0.030602,0.793139,0.951031,0.054795,-230.010391,47.704121,0.000100
29,-3.428562,0.140864,0.951171,0.688407,102,0.070059,10,1.000000,464,2074,0.044626,0.684688,0.888738,0.050781,-229.966019,44.551117,0.000100
30,-3.968434,0.146205,0.965309,0.618820,103,0.069111,10,1.000000,522,2020,0.008665,0.963835,1.047995,0.089844,-230.003540,52.572838,0.000100
31,-3.588088,0.157588,0.962918,0.656145,102,0.084642,10,1.000000,454,2087,0.026212,0.849177,0.977852,0.062500,-227.210327,49.269867,0.000100
32,-3.243021,0.169210,0.958865,0.643500,103,0.075925,10,1.000000,462,2079,0.038924,0.706118,0.901710,0.050781,-224.340164,44.978546,0.000100
